Query_1	RPRC004591-PA	100.000	847	0	0	1	2541	1	847	0.0	1623
Query_1	RPRC006829-PA	30.308	584	317	30	379	2103	519	1021	5.65e-24	107
Query_1	RPRC006829-PA	30.212	566	303	32	349	2007	949	1435	7.33e-20	94.7
Query_1	RPRC006829-PA	28.139	462	197	20	1108	2226	10	425	6.46e-17	85.1
Query_1	RPRC006829-PA	26.698	633	337	27	355	2103	176	731	1.05e-16	84.3
Query_1	RPRC006829-PA	27.395	522	303	24	502	2043	14	467	2.59e-15	79.7
Query_1	RPRC006829-PA	29.621	422	222	23	877	2091	2022	2385	2.26e-08	57.0
Query_1	RPRC006829-PA	27.717	635	357	34	250	2103	1511	2060	4.19e-08	56.2
Query_1	RPRC006829-PA	28.938	273	155	12	1300	2103	8	246	9.43e-07	51.6
Query_1	RPRC006829-PA	25.591	465	268	19	286	1632	1962	2364	0.001	41.2
Query_1	RPRC006829-PA	29.452	146	81	7	253	690	1454	1577	0.001	41.2
Query_1	RPRC004398-PA	34.981	263	131	14	1147	1917	60	288	3.40e-17	82.0
Query_1	RPRC004398-PA	34.981	263	128	14	1246	2013	60	286	1.36e-16	80.1
Query_1	RPRC004398-PA	33.480	227	115	13	1441	2103	58	254	2.43e-10	61.2
Query_1	RPRC004398-PA	33.790	219	111	12	871	1515	98	286	3.41e-09	57.8
Query_1	RPRC004398-PA	29.022	317	151	16	370	1317	43	286	4.24e-05	45.1
Query_1	RPRC010735-PA	72.500	40	11	0	4	123	13	52	5.51e-10	58.5
Query_1	RPRC006693-PA	72.222	36	10	0	10	117	45	80	3.86e-06	47.4
Query_1	RPRC006693-PA	66.667	33	11	0	10	108	97	129	3.46e-05	44.3
Query_1	RPRC004565-PA	79.167	24	5	0	10	81	46	69	2.69e-05	42.0
Query_1	RPRC000546-PA	90.476	21	2	0	71	9	3	23	2.42e-04	39.7
Query_1	RPRC002329-PA	80.000	25	5	0	7	81	275	299	4.48e-04	42.0
Query_1	RPRC008180-PA	75.000	24	6	0	10	81	762	785	0.011	38.1
Query_1	RPRC005600-PA	68.421	19	6	0	70	126	33	51	0.021	31.6
Query_1	RPRC005600-PA	83.333	12	2	0	36	71	22	33	0.021	24.3
Query_1	RPRC014903-PA	24.473	237	118	8	1321	1959	82	281	0.024	37.0
Query_1	RPRC009140-PA	51.220	41	13	2	10	132	118	151	0.045	34.7
