Query_1	RPRC008637-PA	100.000	339	0	0	1	1017	1	339	0.0	660
Query_1	RPRC001888-PA	42.222	270	150	3	109	918	71	334	2.00e-54	181
Query_1	RPRC000506-PA	33.140	172	104	6	274	759	7	177	4.68e-06	46.6
Query_1	RPRC013618-PA	44.000	75	41	1	592	816	99	172	2.39e-05	44.3
Query_1	RPRC013618-PA	28.070	171	98	4	208	717	126	272	0.008	36.2
Query_1	RPRC002861-PA	35.577	104	63	2	583	885	74	176	1.34e-04	42.4
Query_1	RPRC007047-PA	26.667	195	112	5	274	828	35	208	2.92e-04	40.8
Query_1	RPRC007047-PA	24.020	204	80	6	184	696	48	209	0.005	37.0
Query_1	RPRC004104-PA	29.310	174	113	4	274	765	391	564	4.03e-04	41.2
Query_1	RPRC008801-PA	27.778	162	105	5	259	711	233	393	6.88e-04	40.0
Query_1	RPRC008801-PA	26.699	206	103	8	238	765	249	436	0.035	34.7
Query_1	RPRC002031-PA	34.259	108	66	3	514	834	46	149	8.24e-04	38.9
Query_1	RPRC007390-PA	26.554	177	120	5	265	765	385	561	0.001	39.7
Query_1	RPRC015345-PA	32.967	91	59	2	202	474	26	114	0.001	38.5
Query_1	RPRC012028-PA	30.682	88	60	1	583	846	74	160	0.002	39.3
Query_1	RPRC002494-PA	27.315	216	139	8	274	873	400	613	0.002	38.9
Query_1	RPRC002494-PA	30.151	199	122	8	265	816	541	737	0.040	34.7
Query_1	RPRC005171-PA	28.293	205	116	9	274	840	28	217	0.004	37.4
Query_1	RPRC012935-PA	30.723	166	88	10	319	750	20	180	0.005	37.4
Query_1	RPRC015296-PA	29.371	143	90	7	598	1002	220	359	0.006	37.4
Query_1	RPRC008095-PA	30.159	63	42	1	514	696	58	120	0.008	35.8
Query_1	RPRC015271-PA	24.895	237	132	9	115	792	99	300	0.015	35.8
Query_1	RPRC009059-PA	28.302	212	124	9	202	816	66	256	0.015	36.2
Query_1	RPRC001182-PA	33.824	68	41	2	247	438	185	252	0.044	34.3
Query_1	RPRC008414-PA	34.568	81	47	3	607	840	77	154	0.045	34.3
